Row Label,PrecinctCode,County,Registered Voters,Chris Reykdal,Steve Owens
Tumwater 08,408,TH,NULL,260,110
Tumwater 09,409,TH,NULL,128,101
Tumwater 10,410,TH,NULL,243,159
Tumwater 11,411,TH,NULL,259,228
Tumwater 12,412,TH,NULL,222,95
Tumwater 13,413,TH,NULL,87,49
Tumwater 14,414,TH,NULL,94,64
Tumwater 15,415,TH,NULL,248,160
Tumwater 24,424,TH,NULL,132,109
Tumwater 27,427,TH,NULL,203,132
Tumwater 28,428,TH,NULL,255,214
