Row Label,PrecinctCode,County,Registered Voters,Dave McEachran
Total,-1,WM,NULL,52217
101,101,WM,NULL,263
102,102,WM,NULL,268
103,103,WM,NULL,333
104,104,WM,NULL,249
105,105,WM,NULL,174
106    ,106,WM,NULL,305
107,107,WM,NULL,432
108,108,WM,NULL,452
110,110,WM,NULL,328
111    ,111,WM,NULL,373
112,112,WM,NULL,185
113,113,WM,NULL,360
114,114,WM,NULL,198
115,115,WM,NULL,401
116,116,WM,NULL,265
117,117,WM,NULL,355
118,118,WM,NULL,479
119    ,119,WM,NULL,190
120,120,WM,NULL,362
121,121,WM,NULL,247
122,122,WM,NULL,253
123,123,WM,NULL,238
124    ,124,WM,NULL,244
125,125,WM,NULL,386
126    ,126,WM,NULL,459
127,127,WM,NULL,502
129,129,WM,NULL,404
130,130,WM,NULL,233
131,131,WM,NULL,459
132,132,WM,NULL,285
133,133,WM,NULL,212
134    ,134,WM,NULL,432
135,135,WM,NULL,303
136    ,136,WM,NULL,291
137,137,WM,NULL,190
138,138,WM,NULL,239
139,139,WM,NULL,231
140    ,140,WM,NULL,613
141    ,141,WM,NULL,485
142,142,WM,NULL,256
143    ,143,WM,NULL,198
144    ,144,WM,NULL,559
145    ,145,WM,NULL,528
146    ,146,WM,NULL,502
147,147,WM,NULL,377
148,148,WM,NULL,341
149,149,WM,NULL,303
150,150,WM,NULL,449
151,151,WM,NULL,455
152,152,WM,NULL,357
153,153,WM,NULL,365
154    ,154,WM,NULL,256
155,155,WM,NULL,260
156    ,156,WM,NULL,170
157,157,WM,NULL,174
158    ,158,WM,NULL,181
159    ,159,WM,NULL,106
160    ,160,WM,NULL,333
161    ,161,WM,NULL,204
162    ,162,WM,NULL,277
163    ,163,WM,NULL,267
164    ,164,WM,NULL,120
165    ,165,WM,NULL,193
166    ,166,WM,NULL,352
167    ,167,WM,NULL,59
168    ,168,WM,NULL,453
169    ,169,WM,NULL,462
170    ,170,WM,NULL,258
171    ,171,WM,NULL,341
172    ,172,WM,NULL,218
173    ,173,WM,NULL,298
174    ,174,WM,NULL,270
175    ,175,WM,NULL,269
176    ,176,WM,NULL,278
177    ,177,WM,NULL,215
178    ,178,WM,NULL,294
179    ,179,WM,NULL,88
180    ,180,WM,NULL,286
181    ,181,WM,NULL,416
182    ,182,WM,NULL,410
183    ,183,WM,NULL,15
201    ,201,WM,NULL,525
202,202,WM,NULL,245
203,203,WM,NULL,377
204,204,WM,NULL,150
205,205,WM,NULL,232
206,206,WM,NULL,303
207,207,WM,NULL,174
208,208,WM,NULL,401
209,209,WM,NULL,303
210,210,WM,NULL,267
211,211,WM,NULL,331
212,212,WM,NULL,182
213,213,WM,NULL,401
214,214,WM,NULL,214
215,215,WM,NULL,268
216,216,WM,NULL,260
217,217,WM,NULL,284
218,218,WM,NULL,252
219,219,WM,NULL,266
220,220,WM,NULL,277
221,221,WM,NULL,391
222,222,WM,NULL,361
223,223,WM,NULL,138
224,224,WM,NULL,78
225,225,WM,NULL,244
226,226,WM,NULL,125
227,227,WM,NULL,268
228,228,WM,NULL,172
229,229,WM,NULL,260
230,230,WM,NULL,154
231,231,WM,NULL,249
232,232,WM,NULL,316
233,233,WM,NULL,298
234,234,WM,NULL,337
235,235,WM,NULL,212
236,236,WM,NULL,144
237,237,WM,NULL,178
238,238,WM,NULL,276
239,239,WM,NULL,377
240,240,WM,NULL,347
241,241,WM,NULL,234
242,242,WM,NULL,181
243,243,WM,NULL,305
244,244,WM,NULL,281
245,245,WM,NULL,147
246,246,WM,NULL,166
247,247,WM,NULL,151
248    ,248,WM,NULL,210
249    ,249,WM,NULL,338
250    ,250,WM,NULL,372
251    ,251,WM,NULL,273
252    ,252,WM,NULL,41
253    ,253,WM,NULL,205
254    ,254,WM,NULL,256
255    ,255,WM,NULL,176
256    ,256,WM,NULL,251
257    ,257,WM,NULL,118
258    ,258,WM,NULL,202
259    ,259,WM,NULL,193
260    ,260,WM,NULL,264
261    ,261,WM,NULL,242
262    ,262,WM,NULL,206
263    ,263,WM,NULL,204
264    ,264,WM,NULL,302
265    ,265,WM,NULL,250
266    ,266,WM,NULL,336
267    ,267,WM,NULL,26
268,268,WM,NULL,20
301,301,WM,NULL,468
302,302,WM,NULL,417
303,303,WM,NULL,433
304    ,304,WM,NULL,141
401,401,WM,NULL,228
402    ,402,WM,NULL,323
501,501,WM,NULL,361
502,502,WM,NULL,321
503,503,WM,NULL,423
504,504,WM,NULL,202
505,505,WM,NULL,403
506    ,506,WM,NULL,342
507    ,507,WM,NULL,326
508    ,508,WM,NULL,406
509    ,509,WM,NULL,293
601,601,WM,NULL,624
602,602,WM,NULL,514
603,603,WM,NULL,388
604    ,604,WM,NULL,441
605,605,WM,NULL,278
606    ,606,WM,NULL,462
607    ,607,WM,NULL,420
608    ,608,WM,NULL,407
609    ,609,WM,NULL,562
610    ,610,WM,NULL,537
611    ,611,WM,NULL,343
701,701,WM,NULL,381
801,801,WM,NULL,295
