Row Label,PrecinctCode,County,Registered Voters,Brian Dansel,Tony Booth
Total,-1,SP,NULL,11982,4842
PCT 7000,7000,SP,NULL,425,189
PCT 7001,7001,SP,NULL,245,113
PCT 7002,7002,SP,NULL,237,100
PCT 7003,7003,SP,NULL,341,138
PCT 7004,7004,SP,NULL,315,155
PCT 7005,7005,SP,NULL,434,226
PCT 7006,7006,SP,NULL,323,152
PCT 7007,7007,SP,NULL,268,147
PCT 7008,7008,SP,NULL,365,188
PCT 7009,7009,SP,NULL,433,174
PCT 7010,7010,SP,NULL,250,111
PCT 7011,7011,SP,NULL,210,72
PCT 7012,7012,SP,NULL,307,125
PCT 7013,7013,SP,NULL,299,117
PCT 7014,7014,SP,NULL,283,127
PCT 7015,7015,SP,NULL,315,99
PCT 7016,7016,SP,NULL,398,168
PCT 7017,7017,SP,NULL,335,129
PCT 7018,7018,SP,NULL,386,132
PCT 7019,7019,SP,NULL,315,105
PCT 7020,7020,SP,NULL,382,91
PCT 7021,7021,SP,NULL,200,74
PCT 7022,7022,SP,NULL,270,74
PCT 7023,7023,SP,NULL,245,87
PCT 7024,7024,SP,NULL,382,171
PCT 7025,7025,SP,NULL,310,107
PCT 7026,7026,SP,NULL,338,104
PCT 7027,7027,SP,NULL,233,107
PCT 7028,7028,SP,NULL,469,139
PCT 7029,7029,SP,NULL,272,130
PCT 7030,7030,SP,NULL,361,104
PCT 7031,7031,SP,NULL,272,128
PCT 7032,7032,SP,NULL,305,121
PCT 7033,7033,SP,NULL,203,70
PCT 7034,7034,SP,NULL,180,73
PCT 7035,7035,SP,NULL,172,104
PCT 7036,7036,SP,NULL,219,78
PCT 7300,7300,SP,NULL,269,117
PCT 7301,7301,SP,NULL,227,91
PCT 7302,7302,SP,NULL,189,105
