Row Label,PrecinctCode,County,Registered Voters,Scott L. Johnson
Total,-1,PA,NULL,5962
Baleville,1,PA,NULL,53
Bay Center,2,PA,NULL,141
Chinook,3,PA,NULL,189
Eklund Park,4,PA,NULL,62
Frances-Lebam,6,PA,NULL,125
Ilwaco 1 Rural,7,PA,NULL,0
Ilwaco 2 Rural,8,PA,NULL,50
Klipsan,9,PA,NULL,236
Menlo-Firdale,11,PA,NULL,278
Nahcotta,12,PA,NULL,531
Naselle,13,PA,NULL,434
Nemah,15,PA,NULL,40
North Cove,16,PA,NULL,247
Pioneer 2,17,PA,NULL,155
North River,18,PA,NULL,28
Ocean Park 1,19,PA,NULL,141
Ocean Park 2,20,PA,NULL,354
Oysterville,21,PA,NULL,288
Pioneer,22,PA,NULL,177
Raymond W2 R,23,PA,NULL,37
Raymond W3 R,24,PA,NULL,35
Seaview 1,25,PA,NULL,217
Seaview 2,26,PA,NULL,16
Smith Creek,27,PA,NULL,44
South Bend 1 R,28,PA,NULL,47
South Bend 3R,29,PA,NULL,4
South Bend 2R,30,PA,NULL,9
South Fork,32,PA,NULL,105
Willapa,34,PA,NULL,342
Ilwaco City,101,PA,NULL,223
Long Beach,103,PA,NULL,377
Raymond W1p1,105,PA,NULL,24
Raymond W1p2,106,PA,NULL,111
Raymond W1p3,107,PA,NULL,119
Raymond W2,108,PA,NULL,135
Raymond W3,110,PA,NULL,205
South Bend 1,113,PA,NULL,162
South Bend 2,115,PA,NULL,89
South Bend 3,117,PA,NULL,132
