Row Label,PrecinctCode,County,Registered Voters,Elisabeth (Lisa) Frazier
Total,-1,MA,NULL,14291
PICKERING,113,MA,NULL,385
HARSTINE,114,MA,NULL,548
GRAPEVIEW,115,MA,NULL,489
MASON LAKE,116,MA,NULL,342
FAIR HARBOR,117,MA,NULL,287
ALLYN,118,MA,NULL,685
VICTOR,119,MA,NULL,279
BELFAIR,120,MA,NULL,348
TIGER LAKE,121,MA,NULL,217
DEWATTO,122,MA,NULL,441
TAHUYA,123,MA,NULL,393
SAND HILL,124,MA,NULL,442
TRAIL&#39;S END,125,MA,NULL,414
TWANOH,126,MA,NULL,263
BORDEAUX,205,MA,NULL,69
KAMILCHE POINT,207,MA,NULL,225
UNION,227,MA,NULL,614
SKOKOMISH,228,MA,NULL,99
HOOD CANAL,229,MA,NULL,447
CUSHMAN,230,MA,NULL,482
EELLS,231,MA,NULL,137
MATLOCK,232,MA,NULL,352
DAYTON,233,MA,NULL,322
KAMILCHE,234,MA,NULL,165
ISABELLA,235,MA,NULL,241
AIRPORT,236,MA,NULL,523
JOHN&#39;S PRAIRIE,237,MA,NULL,311
LIMERICK,238,MA,NULL,574
OLYMPIC VIEW,301,MA,NULL,497
DOWNTOWN,302,MA,NULL,338
ANGLESIDE,303,MA,NULL,418
HILLCREST,304,MA,NULL,286
FAWN LAKE,306,MA,NULL,495
ARCADIA,308,MA,NULL,466
MILL CREEK,309,MA,NULL,507
AGATE,310,MA,NULL,388
OAKLAND BAY,311,MA,NULL,307
TIMBERLAKE,312,MA,NULL,482
CALLANAN,339,MA,NULL,13
