Row Label,PrecinctCode,County,Registered Voters,Marsha Weyand
Total,-1,KS,NULL,9451
CLE ELUM 1,1,KS,NULL,137
CLE ELUM 2,2,KS,NULL,87
CLE ELUM 3,3,KS,NULL,37
CLE ELUM 4,4,KS,NULL,204
DENMARK,5,KS,NULL,389
EAST SANDERS,6,KS,NULL,279
EASTON,7,KS,NULL,267
ELLENSBURG 1,8,KS,NULL,36
ELLENSBURG 2,9,KS,NULL,55
ELLENSBURG 4,11,KS,NULL,28
ELLENSBURG 5,12,KS,NULL,56
ELLENSBURG 6,13,KS,NULL,45
ELLENSBURG 7,14,KS,NULL,42
ELLENSBURG 8,15,KS,NULL,58
ELLENSBURG 9,16,KS,NULL,68
ELLENSBURG 10,17,KS,NULL,93
ELLENSBURG 11,18,KS,NULL,95
ELLENSBURG 12,19,KS,NULL,81
ELLENSBURG 13,20,KS,NULL,70
ELLENSBURG 14,21,KS,NULL,104
ELLENSBURG 15,22,KS,NULL,123
ELLENSBURG 16,23,KS,NULL,197
ELLENSBURG 17,24,KS,NULL,153
ELLENSBURG 18,25,KS,NULL,29
ELLENSBURG 19,26,KS,NULL,221
ELLENSBURG 20,27,KS,NULL,58
ELLENSBURG 21,28,KS,NULL,96
ELLENSBURG 22,29,KS,NULL,141
ELLENSBURG 23,30,KS,NULL,160
ELLENSBURG 24,31,KS,NULL,293
HYAK,32,KS,NULL,69
KITTITAS 1,33,KS,NULL,116
MANASTASH,34,KS,NULL,216
MOUNTAIN,35,KS,NULL,98
NORTH CENTRAL,36,KS,NULL,229
NORTH ELLENSBURG,37,KS,NULL,359
PARK,38,KS,NULL,306
PEOH POINT,39,KS,NULL,248
RIDGEWAY,40,KS,NULL,412
ROSLYN 1,41,KS,NULL,112
ROSLYN 2,42,KS,NULL,77
DRY CREEK,43,KS,NULL,303
WESTSIDE,44,KS,NULL,309
ROSLYN OUTLYING,45,KS,NULL,45
SANDERS,46,KS,NULL,116
SOUTH CLE ELUM,47,KS,NULL,144
SOUTH ELLENSBURG,48,KS,NULL,344
SWAUK,50,KS,NULL,158
TEANAWAY,51,KS,NULL,244
THORP,52,KS,NULL,239
VANTAGE,53,KS,NULL,22
FAIRVIEW,54,KS,NULL,182
NORTHEAST FAIRVIEW,55,KS,NULL,281
THRALL,56,KS,NULL,251
DAMMAN,58,KS,NULL,282
KACHESS,59,KS,NULL,75
KITTITAS 2,60,KS,NULL,132
ELLENSBURG 25,61,KS,NULL,274
RONALD,62,KS,NULL,106
