Row Label,PrecinctCode,County,Registered Voters,Bob Songer,Marc Boardman
Total,-1,KT,NULL,3952,3788
ALDER CREEK,1,KT,NULL,97,61
CENTERVILLE,2,KT,NULL,228,103
COLUMBUS,3,KT,NULL,15,24
E KLICKITAT,4,KT,NULL,57,37
F VALLEY,5,KT,NULL,161,170
GLENWOOD,6,KT,NULL,145,156
HUSUM,7,KT,NULL,149,205
LYLE,8,KT,NULL,199,187
MT BROOK,9,KT,NULL,135,148
N DALLES,11,KT,NULL,191,173
N F VALLEY,12,KT,NULL,194,203
PINE FOREST,13,KT,NULL,385,392
ROOSEVELT,14,KT,NULL,31,35
TROUT LAKE,16,KT,NULL,184,158
W KLICKITAT,17,KT,NULL,47,33
WISHRAM,19,KT,NULL,38,43
WOODLAND,20,KT,NULL,427,379
ORCHARD HTS,21,KT,NULL,131,120
APPLETON,22,KT,NULL,59,51
ALDERDALE,23,KT,NULL,21,16
E LYLE,24,KT,NULL,67,73
RIVER,27,KT,NULL,7,16
HGH PRAIRIE,28,KT,NULL,42,26
BINGEN,101,KT,NULL,53,76
GOLDENDALE 1,102,KT,NULL,215,221
GOLDENDALE 2,103,KT,NULL,214,172
GOLDENDALE 3,104,KT,NULL,148,164
WHITE SALMON,109,KT,NULL,183,217
N WHITE SALMON,110,KT,NULL,129,129
