Row Label,PrecinctCode,County,Registered Voters,Mark Hammond
Total,-1,LI,NULL,3726
ALMIRA RURAL,1,LI,NULL,26
BLUESTEM,2,LI,NULL,16
CANBY,3,LI,NULL,33
CRESTON RURAL,4,LI,NULL,48
WHEATLAND,5,LI,NULL,76
DAVENPORT RURAL,6,LI,NULL,80
DOWNS,7,LI,NULL,22
EARL,8,LI,NULL,31
EDWALL,9,LI,NULL,66
EGYPT,10,LI,NULL,101
ENOS,11,LI,NULL,9
GOVAN,12,LI,NULL,18
GRAND COULEE,13,LI,NULL,27
GRAVELLE,14,LI,NULL,36
HARR RURAL,15,LI,NULL,49
HAWK CREEK,16,LI,NULL,56
IRBY,17,LI,NULL,20
KELLER,18,LI,NULL,57
LAKEVIEW,19,LI,NULL,106
LAMONA,20,LI,NULL,24
EAST LARENE,21,LI,NULL,77
WEST LARENE,22,LI,NULL,32
LAYTON,23,LI,NULL,18
LONG LAKE,24,LI,NULL,60
MOHLER,25,LI,NULL,44
MONDOVI,26,LI,NULL,65
ODESSA RURAL,27,LI,NULL,77
PEACH,28,LI,NULL,119
N REARDAN RURAL,29,LI,NULL,33
S REARDAN RURAL,30,LI,NULL,46
RIVERVIEW,31,LI,NULL,123
SEVEN BAYS,32,LI,NULL,58
SHERMAN,33,LI,NULL,57
SPRAGUE RURAL,34,LI,NULL,98
SPRING CREEK,35,LI,NULL,68
WILBUR RURAL,36,LI,NULL,83
WAUKON,37,LI,NULL,41
WILSON CREEK,38,LI,NULL,32
ALMIRA IN,39,LI,NULL,77
CRESTON IN,40,LI,NULL,74
DAVENPORT IN,41,LI,NULL,520
HARRINGTON IN,42,LI,NULL,123
ODESSA IN,43,LI,NULL,291
REARDAN IN,44,LI,NULL,192
SPRAGUE IN,45,LI,NULL,110
WILBUR IN,46,LI,NULL,307
