Row Label,PrecinctCode,County,Registered Voters,Brett Buckley
Total,-1,TH,NULL,50796
Cougar Mountain,28,TH,NULL,47
Clear Lake,30,TH,NULL,339
Lackamas,31,TH,NULL,81
Morris,32,TH,NULL,233
Evergreen Ballroom,33,TH,NULL,277
Trails End,34,TH,NULL,403
Kaiser,35,TH,NULL,99
Rich,36,TH,NULL,158
Delta,38,TH,NULL,0
Jones Beach,39,TH,NULL,125
Simmons 9,42,TH,NULL,5
University North,43,TH,NULL,86
Steamboat Island,44,TH,NULL,173
Rocky Prairie,45,TH,NULL,141
Lawrence Lake,46,TH,NULL,259
Woodard Creek,47,TH,NULL,183
Michigan Hill,48,TH,NULL,100
Scott Lake South,49,TH,NULL,175
Salmon Creek,50,TH,NULL,137
Spurgeon Creek,51,TH,NULL,96
James,52,TH,NULL,181
Vail,53,TH,NULL,255
Rochester 5,54,TH,NULL,225
Rochester 4,55,TH,NULL,161
Medicine Creek,57,TH,NULL,106
Skokomish,58,TH,NULL,177
Pleasant Hill,59,TH,NULL,230
Smith Prairie,60,TH,NULL,256
Black River,62,TH,NULL,306
Ames,63,TH,NULL,182
Airport,64,TH,NULL,21
Luhr Beach,65,TH,NULL,246
Fish Trap,66,TH,NULL,164
Quince,67,TH,NULL,4
Simmons 2,68,TH,NULL,4
Simmons 3,69,TH,NULL,9
Simmons 4,70,TH,NULL,10
Pines,74,TH,NULL,175
Long Lake,75,TH,NULL,58
Hawk Acres,76,TH,NULL,139
Zenkner Valley,77,TH,NULL,52
Tri Lakes,78,TH,NULL,122
University South,79,TH,NULL,122
Tolmie,80,TH,NULL,95
Military,81,TH,NULL,83
Glen Terra,82,TH,NULL,77
Prine,83,TH,NULL,44
Glenwood,84,TH,NULL,78
Greenridge,86,TH,NULL,144
Woodland,88,TH,NULL,199
Tilley,89,TH,NULL,262
Sweet Briar,90,TH,NULL,285
Deerbrush,91,TH,NULL,254
Mushroom Corner,92,TH,NULL,228
Trailblazer,93,TH,NULL,86
Frye Cove,94,TH,NULL,228
Oyster Bay,95,TH,NULL,226
Summit Lake,96,TH,NULL,179
Delridge,97,TH,NULL,62
Marvin,98,TH,NULL,266
Alpine,99,TH,NULL,354
Hewitt Lake,100,TH,NULL,278
Zangle,101,TH,NULL,187
Boston Harbor,102,TH,NULL,258
Gull Harbor,103,TH,NULL,141
Friendly Grove,104,TH,NULL,114
South Bay,105,TH,NULL,253
Puget,106,TH,NULL,268
Bigelow,107,TH,NULL,179
Pleasant Glade,109,TH,NULL,136
Montgomery,110,TH,NULL,118
Nisqually,111,TH,NULL,176
Roosevelt,112,TH,NULL,256
Kinwood,113,TH,NULL,187
Mckinley,114,TH,NULL,73
Forest,115,TH,NULL,310
St Clair,116,TH,NULL,203
Hicks,117,TH,NULL,32
Fleetwood,118,TH,NULL,295
Lydia Hawk,119,TH,NULL,381
Hays,120,TH,NULL,164
Indian Summer,121,TH,NULL,255
Chambers,122,TH,NULL,344
Freedom,123,TH,NULL,282
Fristoe,124,TH,NULL,156
Deschutes,125,TH,NULL,231
Longmire,126,TH,NULL,149
Ruth Prairie,127,TH,NULL,104
Weir Prairie,128,TH,NULL,208
College,129,TH,NULL,34
Bald Hills,130,TH,NULL,52
Hunter Point,131,TH,NULL,137
Griffin,132,TH,NULL,195
Schneiders Prairie,133,TH,NULL,167
Cooper Point,134,TH,NULL,205
Butler Cove,135,TH,NULL,219
Broadway,136,TH,NULL,274
Plainview,139,TH,NULL,318
Mud Bay,140,TH,NULL,203
Mclane,141,TH,NULL,156
Bush Prairie,143,TH,NULL,58
Black Lake,144,TH,NULL,278
Delphi,145,TH,NULL,204
South Union,146,TH,NULL,267
Plumb,147,TH,NULL,240
Scatter Creek,148,TH,NULL,163
Mcintosh,149,TH,NULL,361
Violet Prairie,150,TH,NULL,242
Littlerock,151,TH,NULL,338
Rochester 1,153,TH,NULL,267
Rochester 2,154,TH,NULL,203
Scott Lake North,155,TH,NULL,96
Grand Mound,156,TH,NULL,107
Gibson Valley,157,TH,NULL,29
