Row Label,PrecinctCode,County,Registered Voters,Christopher Hurst,Phil Fortunato
Total,-1,KI,NULL,14026,13624
Total,-1,KI,NULL,14026,13624
31-801,31801,PI,NULL,140,137
31-802,31802,PI,NULL,193,231
31-803,31803,PI,NULL,207,213
31-804,31804,PI,NULL,202,232
31-805,31805,PI,NULL,219,211
31-806,31806,PI,NULL,290,243
31-807,31807,PI,NULL,2,2
31-808,31808,PI,NULL,228,185
31-809,31809,PI,NULL,216,214
31-810,31810,PI,NULL,158,114
31-813,31813,PI,NULL,109,114
31-814,31814,PI,NULL,34,24
31-815,31815,PI,NULL,160,153
31-816,31816,PI,NULL,206,189
31-817,31817,PI,NULL,249,221
31-818,31818,PI,NULL,56,61
31-819,31819,PI,NULL,104,92
31-822,31822,PI,NULL,182,152
31-823(*),31823,PI,NULL,0,0
31-824(*),31824,PI,NULL,0,0
31-825,31825,PI,NULL,233,172
31-826,31826,PI,NULL,255,197
31-827,31827,PI,NULL,54,66
31-828,31828,PI,NULL,238,166
31-829,31829,PI,NULL,184,179
31-830,31830,PI,NULL,95,82
31-833,31833,PI,NULL,219,203
31-834,31834,PI,NULL,191,174
31-835,31835,PI,NULL,344,281
31-836,31836,PI,NULL,196,228
31-837,31837,PI,NULL,186,148
31-838,31838,PI,NULL,168,144
31-839,31839,PI,NULL,25,16
31-840,31840,PI,NULL,83,111
31-841,31841,PI,NULL,115,111
31-842,31842,PI,NULL,155,215
31-843,31843,PI,NULL,128,163
31-844,31844,PI,NULL,128,153
31-845,31845,PI,NULL,177,173
31-846,31846,PI,NULL,72,82
31-847,31847,PI,NULL,108,91
31-848,31848,PI,NULL,29,43
31-849,31849,PI,NULL,80,65
31-853,31853,PI,NULL,56,29
31-854,31854,PI,NULL,116,82
31-855,31855,PI,NULL,169,106
31-856,31856,PI,NULL,189,176
31-857,31857,PI,NULL,144,92
31-861,31861,PI,NULL,57,58
31-865,31865,PI,NULL,67,56
31-869,31869,PI,NULL,86,121
31-873,31873,PI,NULL,32,51
31-874,31874,PI,NULL,0,0
31-875,31875,PI,NULL,280,262
31-876,31876,PI,NULL,15,11
31-877,31877,PI,NULL,104,115
31-879,31879,PI,NULL,43,61
31-880,31880,PI,NULL,69,92
31-881,31881,PI,NULL,119,164
31-882,31882,PI,NULL,240,202
31-883,31883,PI,NULL,287,289
31-884,31884,PI,NULL,211,313
31-885,31885,PI,NULL,94,74
31-886,31886,PI,NULL,213,213
31-887,31887,PI,NULL,197,157
31-888,31888,PI,NULL,167,164
31-890,31890,PI,NULL,132,113
31-891,31891,PI,NULL,82,63
31-892,31892,PI,NULL,175,127
31-893(*),31893,PI,NULL,0,0
31-894,31894,PI,NULL,36,29
31-895,31895,PI,NULL,165,184
31-896,31896,PI,NULL,3,4
31-897,31897,PI,NULL,113,103
31-898,31898,PI,NULL,263,215
31-899,31899,PI,NULL,102,138
31-900,31900,PI,NULL,121,172
31-901,31901,PI,NULL,23,25
31-902,31902,PI,NULL,286,313
31-903,31903,PI,NULL,3,4
31-904,31904,PI,NULL,40,37
31-905,31905,PI,NULL,204,187
31-906,31906,PI,NULL,106,116
31-907,31907,PI,NULL,158,186
31-908,31908,PI,NULL,134,155
31-909,31909,PI,NULL,168,142
31-910,31910,PI,NULL,162,183
31-911,31911,PI,NULL,129,99
31-912,31912,PI,NULL,154,122
31-913,31913,PI,NULL,82,95
31-914,31914,PI,NULL,131,154
31-915,31915,PI,NULL,31,44
31-916,31916,PI,NULL,176,194
31-917,31917,PI,NULL,278,283
31-919,31919,PI,NULL,200,170
31-920,31920,PI,NULL,173,113
31-921,31921,PI,NULL,150,193
31-923,31923,PI,NULL,151,155
31-924,31924,PI,NULL,124,149
31-925,31925,PI,NULL,83,37
31-926,31926,PI,NULL,8,7
31-927,31927,PI,NULL,154,216
