Row Label,PrecinctCode,County,Registered Voters,Ronald Strabbing
Total,-1,GY,NULL,14253
Taholah 002,2,GY,NULL,164
Quinault 004,4,GY,NULL,101
Neilton 006,6,GY,NULL,52
Pacific Beach 008,8,GY,NULL,143
Moclips 010,10,GY,NULL,18
Ocean City 012,12,GY,NULL,187
Burrows 014,14,GY,NULL,24
Wilderness 016,16,GY,NULL,79
Humptulips 018,18,GY,NULL,39
Axford 020,20,GY,NULL,92
Dekay 022,22,GY,NULL,47
Hoquiam Rural 024,24,GY,NULL,219
Stover 026,26,GY,NULL,44
North Wishkah 028,28,GY,NULL,2
Wishkah 030,30,GY,NULL,187
Cutoff032,32,GY,NULL,71
Coats Landing 034,34,GY,NULL,193
Geissler 036,36,GY,NULL,28
Aberdeen Lake 038,38,GY,NULL,2
Reynvaan 040,40,GY,NULL,91
Wynoochee 042,42,GY,NULL,4
Boundary 044,44,GY,NULL,32
Black Creek 046,46,GY,NULL,337
Brady 048,48,GY,NULL,320
Riviera 050,50,GY,NULL,30
Satsop 052,52,GY,NULL,112
Calder 056,56,GY,NULL,184
Bush 058,58,GY,NULL,371
McCleary Rural 060,60,GY,NULL,262
Porter 062,62,GY,NULL,133
Cedar Creek 064,64,GY,NULL,56
Chehalis 066,66,GY,NULL,4
Blockhouse 068,68,GY,NULL,202
Delezenne 070,70,GY,NULL,247
Melbourne 072,72,GY,NULL,219
Devonshire 074,74,GY,NULL,197
Vesta 076,76,GY,NULL,41
Artic 078,78,GY,NULL,39
Central Park 080,80,GY,NULL,440
Lois Lane 082,82,GY,NULL,83
Blue Slough 084,84,GY,NULL,138
Sierra 086,86,GY,NULL,1
Lund 088,88,GY,NULL,51
Newskah 090,90,GY,NULL,15
Ocosta 092,92,GY,NULL,0
Johns River 094,94,GY,NULL,216
Grayland 096,96,GY,NULL,215
Cohasset 098,98,GY,NULL,138
Aberdeen 111,111,GY,NULL,420
Aberdeen 121,121,GY,NULL,384
Aberdeen 131,131,GY,NULL,525
Aberdeen 132,132,GY,NULL,0
Aberdeen 141,141,GY,NULL,391
Aberdeen 142,142,GY,NULL,290
Aberdeen 151,151,GY,NULL,241
Aberdeen 161,161,GY,NULL,409
Cosmopolis 201,201,GY,NULL,408
Elma 301,301,GY,NULL,159
Elma 302,302,GY,NULL,348
Hoquiam 411,411,GY,NULL,276
Hoquiam 421,421,GY,NULL,228
Hoquiam 431,431,GY,NULL,287
Hoquiam 441,441,GY,NULL,311
Hoquiam 451,451,GY,NULL,216
Hoquiam 461,461,GY,NULL,234
McCleary 501,501,GY,NULL,286
Montesano 601,601,GY,NULL,515
Montesano 602,602,GY,NULL,511
Montesano 603,603,GY,NULL,0
Oakville 701,701,GY,NULL,101
Ocean Shores 801,801,GY,NULL,413
Ocean Shores 802,802,GY,NULL,567
Ocean Shores 803,803,GY,NULL,480
Westport 901,901,GY,NULL,383
