Row Label,PrecinctCode,County,Registered Voters,Bob Anderson,Bob Hamlin
Total,-1,SM,NULL,1648,2233
BEAR PRAIRIE,100,SM,NULL,94,60
MT. PLEASANT,101,SM,NULL,76,78
SKYE,102,SM,NULL,80,98
UPPER WASHOUGAL,103,SM,NULL,85,95
LEWIS RIVER,104,SM,NULL,8,8
CAPE HORN,105,SM,NULL,89,127
SKAMANIA,106,SM,NULL,126,130
CASCADES,201,SM,NULL,5,5
NORTH BONNEVILLE,202,SM,NULL,134,186
ROCK CREEK,203,SM,NULL,58,86
MAPLE VIEW,204,SM,NULL,88,177
NORTH STEVENSON,205,SM,NULL,62,130
SOUTH STEVENSON,206,SM,NULL,20,36
NELSON CREEK,207,SM,NULL,28,79
CARSON CREEK,208,SM,NULL,93,126
STABLER,300,SM,NULL,133,154
WIND RIVER,303,SM,NULL,94,109
HOT SPRINGS NORTH,304,SM,NULL,45,45
HOT SPRINGS SOUTH,305,SM,NULL,77,77
WIND MOUNTAIN,307,SM,NULL,44,77
CHENOWITH,309,SM,NULL,45,111
UNDERWOOD NORTH,310,SM,NULL,99,120
UNDERWOOD SOUTH,311,SM,NULL,65,119
