Row Label,PrecinctCode,County,Registered Voters,Lillian Ortiz-Self,Jeff Scherrer
Total,-1,SN,NULL,21554,15239
MUKILTEO  1,22121192,SN,NULL,243,169
MUKILTEO  2,22121193,SN,NULL,287,182
MUKILTEO  3,22121194,SN,NULL,146,115
EVERETT  56,22121259,SN,NULL,131,106
EVERETT  57,22121260,SN,NULL,151,114
MUKILTEO  4,22121262,SN,NULL,138,103
MUKILTEO  5,22121263,SN,NULL,246,191
MUKILTEO  7,22121306,SN,NULL,144,110
MUKILTEO  8,22121307,SN,NULL,154,88
MUKILTEO  9,22121355,SN,NULL,180,130
MUKILTEO 11,22121378,SN,NULL,154,120
MUKILTEO 12,22121379,SN,NULL,287,181
MUKILTEO 13,22121380,SN,NULL,173,160
MUKILTEO 14,22121381,SN,NULL,229,170
MUKILTEO 16,22121382,SN,NULL,239,172
MUKILTEO 18,22121383,SN,NULL,212,204
EVERETT  35,22121400,SN,NULL,150,145
EVERETT  64,22121405,SN,NULL,71,60
EVERETT  65,22121406,SN,NULL,129,109
EVERETT  66,22121407,SN,NULL,200,82
EVERETT  84,22121448,SN,NULL,55,30
MUKILTEO 19,22121474,SN,NULL,130,139
MUKILTEO 20,22121475,SN,NULL,214,171
EVERETT  91,22121491,SN,NULL,116,81
EVERETT  52,22121615,SN,NULL,148,98
EVERETT  61,22121616,SN,NULL,29,23
EVERETT  79,22121621,SN,NULL,155,101
EVERETT  83(*),22121622,SN,NULL,0,0
EVERETT  92(*),22121624,SN,NULL,0,0
MUKILTEO  6,22121631,SN,NULL,183,147
MUKILTEO 15,22121632,SN,NULL,48,56
MUKILTEO 17,22121633,SN,NULL,231,196
MUKILTEO 10,22121655,SN,NULL,138,82
EVERETT  95,22121697,SN,NULL,77,55
MUKILTEO 21,22121704,SN,NULL,113,81
HIWAY,22124068,SN,NULL,22,10
SHELBY,22124100,SN,NULL,152,84
LIND,22124185,SN,NULL,194,87
YORK,22124274,SN,NULL,174,143
WINGATE,22124337,SN,NULL,177,154
STOCK SHOW,22124486,SN,NULL,81,70
OLIVIA,22124589,SN,NULL,26,17
LYNNWOOD 19,22131422,SN,NULL,166,130
LYNNWOOD 34,22131538,SN,NULL,100,58
MEADOWDALE,22134040,SN,NULL,175,99
EMANDER,22134063,SN,NULL,183,111
ASH,22134076,SN,NULL,221,160
MANOR,22134079,SN,NULL,185,92
MANORDALE,22134080,SN,NULL,144,116
SERENE,22134082,SN,NULL,167,120
STICKNEY,22134084,SN,NULL,146,155
FIELD,22134088,SN,NULL,157,125
ALICIA,22134150,SN,NULL,188,145
CASCADE,22134152,SN,NULL,121,73
GROVE,22134183,SN,NULL,186,159
PIONEER,22134195,SN,NULL,152,123
GIBSON,22134265,SN,NULL,124,73
HEMLOCK,22134268,SN,NULL,236,161
COVE,22134282,SN,NULL,161,116
EMERALD,22134286,SN,NULL,134,133
PICNIC POINT,22134314,SN,NULL,137,110
SHORE,22134320,SN,NULL,188,141
NORMA,22134356,SN,NULL,149,82
PUGET,22134359,SN,NULL,158,103
SHADOW WOOD,22134362,SN,NULL,180,97
ALDER,22134368,SN,NULL,147,106
KEELER,22134373,SN,NULL,152,86
