Row Label,PrecinctCode,County,Registered Voters,Kevin McCann
29-652,29652,PI,NULL,34
29-653,29653,PI,NULL,298
29-654,29654,PI,NULL,335
29-655,29655,PI,NULL,127
29-656,29656,PI,NULL,285
29-657,29657,PI,NULL,4
29-658,29658,PI,NULL,285
29-659,29659,PI,NULL,168
29-660,29660,PI,NULL,379
29-661,29661,PI,NULL,264
29-662,29662,PI,NULL,0
29-663,29663,PI,NULL,287
29-664,29664,PI,NULL,302
29-667,29667,PI,NULL,321
29-668,29668,PI,NULL,242
29-669,29669,PI,NULL,317
29-670,29670,PI,NULL,330
29-671,29671,PI,NULL,274
29-672,29672,PI,NULL,194
29-673,29673,PI,NULL,341
29-674,29674,PI,NULL,108
29-675,29675,PI,NULL,333
29-676,29676,PI,NULL,298
29-677,29677,PI,NULL,309
29-678,29678,PI,NULL,250
29-679,29679,PI,NULL,264
29-680,29680,PI,NULL,251
29-682,29682,PI,NULL,296
29-683,29683,PI,NULL,319
30-701,30701,PI,NULL,12
30-705,30705,PI,NULL,170
30-706,30706,PI,NULL,244
30-707,30707,PI,NULL,157
30-708,30708,PI,NULL,231
30-709,30709,PI,NULL,251
30-713,30713,PI,NULL,4
31-801,31801,PI,NULL,180
31-802,31802,PI,NULL,256
31-803,31803,PI,NULL,291
31-804,31804,PI,NULL,263
31-805,31805,PI,NULL,281
31-806,31806,PI,NULL,324
31-807,31807,PI,NULL,3
31-808,31808,PI,NULL,243
31-809,31809,PI,NULL,261
31-810,31810,PI,NULL,157
31-813,31813,PI,NULL,139
31-814,31814,PI,NULL,40
31-815,31815,PI,NULL,213
31-816,31816,PI,NULL,252
31-817,31817,PI,NULL,311
31-818,31818,PI,NULL,78
31-819,31819,PI,NULL,126
31-822,31822,PI,NULL,224
31-823,31823,PI,NULL,194
31-824,31824,PI,NULL,0
31-825,31825,PI,NULL,253
31-826,31826,PI,NULL,302
31-827,31827,PI,NULL,75
31-828,31828,PI,NULL,257
31-829,31829,PI,NULL,252
31-830,31830,PI,NULL,117
31-833,31833,PI,NULL,270
31-834,31834,PI,NULL,220
31-835,31835,PI,NULL,424
31-836,31836,PI,NULL,252
31-837,31837,PI,NULL,231
31-838,31838,PI,NULL,202
31-839,31839,PI,NULL,22
31-840,31840,PI,NULL,126
31-841,31841,PI,NULL,140
31-842,31842,PI,NULL,228
31-843,31843,PI,NULL,180
31-844,31844,PI,NULL,173
31-845,31845,PI,NULL,233
31-846,31846,PI,NULL,110
31-847,31847,PI,NULL,136
31-848,31848,PI,NULL,41
31-849,31849,PI,NULL,99
31-853,31853,PI,NULL,47
31-854,31854,PI,NULL,138
31-855,31855,PI,NULL,179
31-856,31856,PI,NULL,221
31-857,31857,PI,NULL,137
31-861,31861,PI,NULL,80
31-865,31865,PI,NULL,85
31-869,31869,PI,NULL,139
31-873,31873,PI,NULL,62
31-874,31874,PI,NULL,0
31-875,31875,PI,NULL,323
31-876,31876,PI,NULL,22
31-877,31877,PI,NULL,128
31-879,31879,PI,NULL,70
31-880,31880,PI,NULL,110
31-881,31881,PI,NULL,161
31-882,31882,PI,NULL,246
31-883,31883,PI,NULL,333
31-884,31884,PI,NULL,286
31-885,31885,PI,NULL,109
31-886,31886,PI,NULL,248
31-887,31887,PI,NULL,213
31-888,31888,PI,NULL,234
31-890,31890,PI,NULL,168
31-891,31891,PI,NULL,95
31-892,31892,PI,NULL,182
31-893,31893,PI,NULL,0
31-894,31894,PI,NULL,39
31-895,31895,PI,NULL,217
31-896,31896,PI,NULL,4
