Row Label,PrecinctCode,County,Registered Voters,Joe M Reynolds,Jim Hawkes
Total,-1,WT,NULL,4523,4400
TEKOA IN,31,WT,NULL,138,66
OAKESDALE IN,32,WT,NULL,131,40
FARMINGTON IN,33,WT,NULL,51,19
GARFIELD IN,34,WT,NULL,130,54
COLTON IN,35,WT,NULL,87,84
UNIONTOWN IN,36,WT,NULL,58,35
ALBION IN,37,WT,NULL,63,86
LACROSSE IN,42,WT,NULL,106,33
ENDICOTT IN,43,WT,NULL,75,38
LAMONT IN,44,WT,NULL,13,4
ST JOHN IN,45,WT,NULL,141,74
MALDEN IN,46,WT,NULL,38,13
ROSALIA IN,47,WT,NULL,121,81
TEKOA 101,101,WT,NULL,39,16
OAKESDALE 102,102,WT,NULL,63,31
FARMINGTON 103,103,WT,NULL,28,7
STEPTOE 104,104,WT,NULL,71,38
GARFIELD 105,105,WT,NULL,70,27
PALOUSE RURAL 106,106,WT,NULL,100,70
PALOUSE 107,107,WT,NULL,153,134
COLTON 108,108,WT,NULL,55,43
UNIONTOWN 109,109,WT,NULL,40,21
PULLMAN RURAL 110,110,WT,NULL,179,215
PULLMAN RURAL 111,111,WT,NULL,46,60
ALBION 112,112,WT,NULL,45,56
PULLMAN CITY 113,113,WT,NULL,37,85
PULLMAN CITY 114,114,WT,NULL,7,12
PULLMAN CITY 115,115,WT,NULL,2,5
PULLMAN CITY 116,116,WT,NULL,131,251
PULLMAN CITY 117,117,WT,NULL,50,90
PULLMAN CITY 118,118,WT,NULL,92,167
PULLMAN CITY 119,119,WT,NULL,60,144
PULLMAN CITY 120,120,WT,NULL,188,335
PULLMAN CITY 121,121,WT,NULL,49,91
PULLMAN CITY 122,122,WT,NULL,34,84
PULLMAN CITY 123,123,WT,NULL,62,153
PULLMAN CITY 124,124,WT,NULL,8,14
PULLMAN CITY 125,125,WT,NULL,2,11
PULLMAN CITY 126,126,WT,NULL,2,17
PULLMAN CITY 127,127,WT,NULL,8,17
PULLMAN CITY 128,128,WT,NULL,16,37
PULLMAN CITY 129,129,WT,NULL,12,38
PULLMAN CITY 130,130,WT,NULL,7,54
PULLMAN CITY 131(*),131,WT,NULL,0,0
PULLMAN CITY 132(*),132,WT,NULL,0,0
PULLMAN CITY 133(*),133,WT,NULL,0,0
PULLMAN CITY 134,134,WT,NULL,4,12
PULLMAN CITY 135,135,WT,NULL,62,111
COLFAX RURAL 136,136,WT,NULL,108,51
COLFAX RURAL 137,137,WT,NULL,166,90
WILCOX 138,138,WT,NULL,82,49
COLFAX CITY 139,139,WT,NULL,134,112
COLFAX CITY 140,140,WT,NULL,136,96
COLFAX CITY 141,141,WT,NULL,113,84
COLFAX CITY 142,142,WT,NULL,178,156
DUSTY 143,143,WT,NULL,36,14
HAY 144,144,WT,NULL,21,6
HOOPER 145,145,WT,NULL,13,7
LACROSSE 146,146,WT,NULL,64,16
ENDICOTT 147,147,WT,NULL,78,37
LAMONT 148,148,WT,NULL,33,10
ST JOHN 149,149,WT,NULL,139,71
MALDEN 150,150,WT,NULL,6,3
ROSALIA 151,151,WT,NULL,42,35
THORNTON 152,152,WT,NULL,37,22
PULLMAN 218,218,WT,NULL,108,192
PULLMAN 228,228,WT,NULL,5,13
PULLMAN 234,234,WT,NULL,18,41
PULLMAN 235,235,WT,NULL,130,220
