Row Label,PrecinctCode,County,Registered Voters,Ed Orcutt,John Morgan
Total,-1,TH,NULL,3844,2282
Clear Lake,30,TH,NULL,263,163
Rich,36,TH,NULL,170,66
Rocky Prairie,45,TH,NULL,119,94
Lawrence Lake,46,TH,NULL,234,127
Michigan Hill,48,TH,NULL,128,54
Spurgeon Creek,51,TH,NULL,99,39
James,52,TH,NULL,169,96
Vail,53,TH,NULL,195,124
Rochester 5,54,TH,NULL,194,123
Rochester 4,55,TH,NULL,147,97
Zenkner Valley,77,TH,NULL,50,29
Military,81,TH,NULL,76,54
Bald Hills,130,TH,NULL,42,34
Plumb,147,TH,NULL,207,104
Scatter Creek,148,TH,NULL,133,89
Mcintosh,149,TH,NULL,318,179
Rochester 1,153,TH,NULL,216,138
Rochester 2,154,TH,NULL,171,108
Grand Mound,156,TH,NULL,85,58
Gibson Valley,157,TH,NULL,40,15
Skookumchuck,158,TH,NULL,196,112
Rochester 3,170,TH,NULL,161,127
Stedman,180,TH,NULL,145,65
Tenino 01,501,TH,NULL,103,61
Tenino 02,502,TH,NULL,119,67
Bucoda,801,TH,NULL,64,59
