Row Label,PrecinctCode,County,Registered Voters,Tyson Hill
Total,-1,GR,NULL,13672
Airport 1 001,1,GR,NULL,185
Beverly 002,2,GR,NULL,21
Block 71 003,3,GR,NULL,362
Cascade Fairgrnd 004,4,GR,NULL,190
Coulee City 005,5,GR,NULL,138
Coulee Cty Rur W 006,6,GR,NULL,61
Electric City 007,7,GR,NULL,226
Ephrata 5 008,8,GR,NULL,205
Ephrata 2 009,9,GR,NULL,229
Ephrata 3 010,10,GR,NULL,174
Ephrata 4 011,11,GR,NULL,312
Ephrata 7 012,12,GR,NULL,231
Ephrata 9 013,13,GR,NULL,381
Ephrata Rural ,14,GR,NULL,172
George 015,15,GR,NULL,31
George Rural 016,16,GR,NULL,353
Gloyd 017,17,GR,NULL,194
Grand Coulee 018,18,GR,NULL,191
Hartline 019,19,GR,NULL,36
Hartline Rural S 020,20,GR,NULL,17
Lakeview Park 021,21,GR,NULL,184
Longview 022,22,GR,NULL,281
Mae 023,23,GR,NULL,593
Marlin 024,24,GR,NULL,15
Marlin Rural 025,25,GR,NULL,23
Mattawa 026,26,GR,NULL,33
Mattawa Rural 027,27,GR,NULL,279
McConihe 1 028,28,GR,NULL,120
Moses Lake 5 029,29,GR,NULL,227
Moses Lake 3 030,30,GR,NULL,351
Moses Lake 4 031,31,GR,NULL,218
Moses Lake 6 032,32,GR,NULL,346
Moses Lake 7 033,33,GR,NULL,297
Moses Lake 8 034,34,GR,NULL,371
Moses Lake 11 035,35,GR,NULL,445
Moses Lake 12 036,36,GR,NULL,265
North Banks Lake 037,37,GR,NULL,44
O Sullivan Dam 1 038,38,GR,NULL,355
Quincy 1 039,39,GR,NULL,194
Quincy 4 040,40,GR,NULL,112
Quincy 6 041,41,GR,NULL,298
Quincy Rural N 042,42,GR,NULL,142
Royal Camp 043,43,GR,NULL,321
Royal City 044,44,GR,NULL,88
Ruff 045,45,GR,NULL,32
Smyrna 1 046,46,GR,NULL,100
Soap Lake 1 047,47,GR,NULL,133
Soap Lake Rur E ,48,GR,NULL,57
Stratford 049,49,GR,NULL,32
Warden 050,50,GR,NULL,146
Warden Rural 051,51,GR,NULL,279
Soap Lake 2 052,52,GR,NULL,117
Westslope 1 053,53,GR,NULL,71
Wheeler 1 054,54,GR,NULL,156
Wilson Creek 055,55,GR,NULL,51
Wilson Crk Rural 056,56,GR,NULL,23
Airport 2 057,57,GR,NULL,150
Cascade Valley 058,58,GR,NULL,406
Westslope 2 059,59,GR,NULL,61
Smyrna 2 060,60,GR,NULL,18
East Wahluke 061,61,GR,NULL,51
Coulee Cty Rur E 062,62,GR,NULL,17
McConihe 2 063,63,GR,NULL,102
Quincy Rural S 064,64,GR,NULL,366
Greenfield 065,65,GR,NULL,41
Moses Lake 1 066,66,GR,NULL,162
Moses Lake 2 067,67,GR,NULL,195
Moses Lake 9  068,68,GR,NULL,234
O Sullivan Dam 2 069,69,GR,NULL,454
Wheeler 2 070,70,GR,NULL,400
Soap Lake Rur W ,71,GR,NULL,242
Coulee Cty Rur N 072,72,GR,NULL,50
Hartline Rural N 073,73,GR,NULL,22
Ephrata Rural E,74,GR,NULL,193
