Row Label,PrecinctCode,County,Registered Voters,Jim Raymond,Richard Lathim
Total,-1,FR,NULL,7534,7016
Pct 001,1,FR,NULL,131,78
Pct 002,2,FR,NULL,71,39
Pct 003,3,FR,NULL,43,14
Pct 004,4,FR,NULL,55,26
Pct 005,5,FR,NULL,47,24
Pct 006,6,FR,NULL,64,54
Pct 007,7,FR,NULL,58,45
Pct 008,8,FR,NULL,140,81
Pct 009,9,FR,NULL,46,28
Pct 010,10,FR,NULL,89,39
Pct 011,11,FR,NULL,74,35
Pct 012,12,FR,NULL,49,31
Pct 013,13,FR,NULL,51,30
Pct 014,14,FR,NULL,50,48
Pct 015,15,FR,NULL,72,49
Pct 016,16,FR,NULL,11,7
Pct 017,17,FR,NULL,74,57
Pct 018,18,FR,NULL,42,21
Pct 019,19,FR,NULL,104,81
Pct 020,20,FR,NULL,42,32
Pct 021,21,FR,NULL,31,16
Pct 022,22,FR,NULL,124,69
Pct 023,23,FR,NULL,203,132
Pct 024,24,FR,NULL,89,66
Pct 025,25,FR,NULL,43,27
Pct 026,26,FR,NULL,74,47
Pct 027,27,FR,NULL,53,27
Pct 028,28,FR,NULL,47,38
Pct 029,29,FR,NULL,67,38
Pct 030,30,FR,NULL,33,28
Pct 031,31,FR,NULL,45,35
Pct 032,32,FR,NULL,236,159
Pct 033,33,FR,NULL,94,67
Pct 034,34,FR,NULL,165,119
Pct 035,35,FR,NULL,50,69
Pct 036,36,FR,NULL,184,126
Pct 037,37,FR,NULL,158,139
Pct 038,38,FR,NULL,121,87
Pct 039,39,FR,NULL,122,101
Pct 040,40,FR,NULL,123,80
Pct 041,41,FR,NULL,85,59
Pct 042,42,FR,NULL,89,72
Pct 043,43,FR,NULL,93,86
Pct 044,44,FR,NULL,112,86
Pct 045,45,FR,NULL,146,113
Pct 046,46,FR,NULL,161,131
Pct 047,47,FR,NULL,19,10
Pct 048,48,FR,NULL,153,93
Pct 049,49,FR,NULL,165,107
Pct 050,50,FR,NULL,136,107
Pct 051,51,FR,NULL,138,100
Pct 052,52,FR,NULL,41,22
Pct 053,53,FR,NULL,93,90
Pct 054,54,FR,NULL,48,47
Pct 055,55,FR,NULL,177,184
Pct 056,56,FR,NULL,72,100
Pct 057,57,FR,NULL,111,86
Pct 058,58,FR,NULL,17,11
Pct 059,59,FR,NULL,182,136
Pct 060,60,FR,NULL,58,41
Pct 061,61,FR,NULL,187,110
Pct 062,62,FR,NULL,248,144
Pct 063,63,FR,NULL,115,91
Pct 064,64,FR,NULL,72,129
Pct 065,65,FR,NULL,52,60
Pct 066,66,FR,NULL,153,161
Pct 067(*),67,FR,NULL,0,0
Pct 068(*),68,FR,NULL,0,0
Pct 069,69,FR,NULL,9,31
Pct 070,70,FR,NULL,29,42
Pct 071,71,FR,NULL,57,108
Pct 072,72,FR,NULL,77,55
Pct 073,73,FR,NULL,128,153
Pct 074,74,FR,NULL,94,165
Pct 075,75,FR,NULL,9,33
Pct 076,76,FR,NULL,24,65
Pct 077,77,FR,NULL,23,42
Pct 078,78,FR,NULL,27,68
Pct 079,79,FR,NULL,62,67
Pct 080,80,FR,NULL,107,192
Pct 081,81,FR,NULL,23,49
Pct 082,82,FR,NULL,56,61
Pct 083,83,FR,NULL,22,75
Pct 084,84,FR,NULL,29,20
Pct 085,85,FR,NULL,23,30
Pct 086,86,FR,NULL,27,59
Pct 087,87,FR,NULL,26,43
Pct 088,88,FR,NULL,8,37
Pct 089,89,FR,NULL,23,104
Pct 090,90,FR,NULL,26,127
Pct 091,91,FR,NULL,3,10
Pct 092,92,FR,NULL,33,106
Pct 093,93,FR,NULL,35,126
Pct 094,94,FR,NULL,0,0
Pct 095,95,FR,NULL,11,59
Pct 096,96,FR,NULL,18,71
Pct 097,97,FR,NULL,17,34
Pct 098,98,FR,NULL,6,21
Pct 099,99,FR,NULL,6,29
Pct 100,100,FR,NULL,39,65
Pct 101,101,FR,NULL,38,75
