Row Label,PrecinctCode,County,Registered Voters,John W Hunt
Total,-1,AD,NULL,2597
Ritzville Ward #1,111,AD,NULL,74
Ritzville Ward #2,112,AD,NULL,77
Ritzville Ward #3,113,AD,NULL,131
Ritzville Ward #4,114,AD,NULL,99
Ritzville Ward #5,115,AD,NULL,106
Ritzville Rural NW,121,AD,NULL,121
Ritzville Rural SE,122,AD,NULL,96
Batum,123,AD,NULL,64
Benge,211,AD,NULL,19
Washtucna City #1,212,AD,NULL,77
Washtucna Rural,221,AD,NULL,58
Ralston,222,AD,NULL,25
Lind #1,311,AD,NULL,139
Hatton City,313,AD,NULL,15
Lind Rural,321,AD,NULL,58
Fairview,322,AD,NULL,25
Schrag,323,AD,NULL,27
Hatton Rural,324,AD,NULL,27
Cunningham,325,AD,NULL,7
Othello City #1,411,AD,NULL,17
Othello City #2,412,AD,NULL,144
Othello City #3,413,AD,NULL,130
Othello City #4,414,AD,NULL,149
Othello City #5,415,AD,NULL,148
Othello City #6,416,AD,NULL,93
Othello Rural #1,511,AD,NULL,67
Othello Rural #2,512,AD,NULL,83
Othello Rural #3,513,AD,NULL,180
Othello Rural #4,514,AD,NULL,124
Othello Rural #5,515,AD,NULL,76
Othello Rural #6,516,AD,NULL,141
