Row Label,PrecinctCode,County,Registered Voters,David Womack,Scott Vejraska
Total,-1,OK,NULL,4651,5691
ALMA,1,OK,NULL,14,31
ANGLIN,2,OK,NULL,27,42
BEEMAN,3,OK,NULL,32,42
BONAPARTE,5,OK,NULL,14,20
BOSTON,6,OK,NULL,24,57
BREWSTER RURAL,7,OK,NULL,23,25
CARLTON,8,OK,NULL,14,29
CHESAW,9,OK,NULL,16,31
CONCONULLY RURAL,10,OK,NULL,20,23
DUCK LAKE,11,OK,NULL,10,26
DULEY LAKE,12,OK,NULL,11,21
EASTLAKE,13,OK,NULL,10,16
EASTSIDE,14,OK,NULL,42,47
ELLISFORDE,15,OK,NULL,27,41
ELMERTON,16,OK,NULL,51,31
ELMWAY,17,OK,NULL,13,30
HAVILLAH,18,OK,NULL,35,36
LOOMIS,19,OK,NULL,30,35
MALOTT,20,OK,NULL,24,59
MAZAMA,21,OK,NULL,45,30
METHOW,22,OK,NULL,19,47
MISSION,23,OK,NULL,13,23
MOLSON,24,OK,NULL,25,35
MONSE #1,25,OK,NULL,22,37
NESPELEM RURAL,27,OK,NULL,10,15
NIGHTHAWK,28,OK,NULL,4,14
NORTH OMAK,29,OK,NULL,12,20
PATEROS RURAL,30,OK,NULL,22,19
PINE CREEK,31,OK,NULL,11,32
POGUE,32,OK,NULL,26,56
RIVERSIDE RURAL,33,OK,NULL,47,54
SAN POIL,34,OK,NULL,39,36
SOUTH OROVILLE,35,OK,NULL,24,38
SPRING COULEE,36,OK,NULL,23,45
TONASKET RURAL,37,OK,NULL,18,12
TUNK CREEK,38,OK,NULL,31,56
TWISP RURAL,39,OK,NULL,28,38
WOLF CREEK,40,OK,NULL,37,18
WAUCONDA,41,OK,NULL,4,11
WESTLAKE,42,OK,NULL,9,22
WHITESTONE,43,OK,NULL,11,24
WINTHROP RURAL,44,OK,NULL,52,28
CHILIWIST,45,OK,NULL,13,42
MONSE #3,46,OK,NULL,10,22
OKANOGAN RURAL,47,OK,NULL,20,24
AENEAS,48,OK,NULL,19,23
COLUMBIA,49,OK,NULL,9,18
CRUMBACHER,50,OK,NULL,11,52
DISAUTEL,51,OK,NULL,10,13
HUDSON,52,OK,NULL,9,21
KIPLING,53,OK,NULL,11,26
ORCHARD,54,OK,NULL,16,27
TORODA,55,OK,NULL,2,3
BEAVER CREEK,56,OK,NULL,15,19
BLACK CANYON,57,OK,NULL,24,21
BUFFALO LAKE,58,OK,NULL,6,15
COPPLE,59,OK,NULL,32,34
EDELWEISS,60,OK,NULL,35,30
ENGH,61,OK,NULL,24,43
FINLEY CANYON,62,OK,NULL,27,43
JANIS,63,OK,NULL,16,19
LEESE,64,OK,NULL,13,10
LIBBY CREEK,65,OK,NULL,35,36
MCGINNIS LAKE,66,OK,NULL,3,9
NORTH STAR,67,OK,NULL,8,8
OWHI,68,OK,NULL,15,16
PALMER LAKE,69,OK,NULL,22,28
PINE CONE,70,OK,NULL,10,23
POORMAN CREEK,71,OK,NULL,44,49
SAND FLAT,72,OK,NULL,39,34
SOURDOUGH,74,OK,NULL,26,31
TWIN LAKES,75,OK,NULL,46,29
VALLEY,76,OK,NULL,18,25
WANNACUT,77,OK,NULL,20,50
WEST CHEWUCH,78,OK,NULL,28,24
CANAL,79,OK,NULL,16,26
AIRPORT,81,OK,NULL,22,23
BALKY HILL,82,OK,NULL,22,26
BRIDGE CREEK,83,OK,NULL,22,17
CROSSROADS,84,OK,NULL,22,20
DAVIS LAKE,85,OK,NULL,46,15
GREENACRES,86,OK,NULL,12,27
JOHNSON CREEK,87,OK,NULL,17,41
LEWIS BUTTE,88,OK,NULL,35,26
LIME BELT,89,OK,NULL,12,22
MCCLURE MTN,90,OK,NULL,43,35
MOCCASIN LAKE,91,OK,NULL,33,42
NORTH MALOTT,92,OK,NULL,22,51
PATTERSON LAKE,93,OK,NULL,48,19
PEARRYGIN LAKE,94,OK,NULL,21,19
BOUNDARY,95,OK,NULL,24,31
BUCKHORN MTN,96,OK,NULL,26,17
EDER,97,OK,NULL,29,22
HORSESHOE LAKE,98,OK,NULL,16,25
LAKE ANDREWS,99,OK,NULL,10,34
MYERS CREEK,100,OK,NULL,11,12
COULEE DAM #1,101,OK,NULL,45,17
COULEE DAM #2,102,OK,NULL,27,25
COULEE DAM #3,103,OK,NULL,25,12
NESPELEM CITY,104,OK,NULL,10,17
OKANOGAN #1,105,OK,NULL,21,16
OKANOGAN #2,106,OK,NULL,26,30
OKANOGAN #3,107,OK,NULL,13,15
OKANOGAN #4,108,OK,NULL,25,28
OMAK #1,109,OK,NULL,16,18
OMAK #2,110,OK,NULL,20,30
OMAK #3,111,OK,NULL,8,12
OMAK #4,112,OK,NULL,21,19
OMAK #5,113,OK,NULL,22,28
OMAK #6,114,OK,NULL,12,35
OMAK #7,115,OK,NULL,20,22
OMAK #8,116,OK,NULL,12,15
OMAK #9,117,OK,NULL,29,43
OROVILLE #1,118,OK,NULL,22,22
OROVILLE #2,119,OK,NULL,17,12
OROVILLE #3,120,OK,NULL,11,18
TONASKET #1,121,OK,NULL,14,13
TONASKET #2,122,OK,NULL,27,17
TONASKET #3,123,OK,NULL,11,12
BREWSTER #1,124,OK,NULL,10,13
BREWSTER #2,125,OK,NULL,32,28
PATEROS #1,126,OK,NULL,18,21
PATEROS #2,127,OK,NULL,17,23
TWISP #1,128,OK,NULL,42,40
TWISP #2,129,OK,NULL,28,29
WINTHROP #1,130,OK,NULL,44,37
CONCONULLY CITY,131,OK,NULL,47,37
COULEE DAM #4,132,OK,NULL,23,13
ELMER CITY,133,OK,NULL,50,21
RIVERSIDE CITY,134,OK,NULL,33,35
TWISP #3,135,OK,NULL,40,26
TWISP #4,136,OK,NULL,10,10
WINTHROP #2,137,OK,NULL,30,15
SHORELINE,138,OK,NULL,14,19
SIMILKAMEEN,139,OK,NULL,21,10
TEAL LAKE,140,OK,NULL,19,18
TONASKET CREEK,141,OK,NULL,11,26
OROVILLE #4,142,OK,NULL,21,18
OROVILLE #5,143,OK,NULL,15,31
OROVILLE #6,144,OK,NULL,15,10
OROVILLE #7,145,OK,NULL,18,14
OROVILLE #8,146,OK,NULL,18,20
OROVILLE #9,147,OK,NULL,17,12
OROVILLE #10,148,OK,NULL,25,18
JENNINGS LOOP,149,OK,NULL,8,20
BLUE LAKE,150,OK,NULL,31,25
AENEAS CREEK,151,OK,NULL,15,41
AENEAS LAKE,152,OK,NULL,29,43
ANTOINE CREEK,153,OK,NULL,16,22
ANTOINE PEAK,154,OK,NULL,18,7
CAPE LABELLE,155,OK,NULL,15,17
CAYUSE MTN,156,OK,NULL,16,12
CHEWILIKEN,157,OK,NULL,12,18
DUFFYS MTN,158,OK,NULL,12,15
FRONTAGE,159,OK,NULL,6,12
GUSTY RIDGE,160,OK,NULL,19,22
LONGANECKER,161,OK,NULL,17,20
NORTH TONASKET,162,OK,NULL,34,40
PICKENS MTN,163,OK,NULL,13,25
RANCHES,164,OK,NULL,8,15
SIWASH CREEK,165,OK,NULL,21,27
SPECTACLE LAKE,166,OK,NULL,14,32
HIGHWAY,167,OK,NULL,10,13
WHISKY MTN,168,OK,NULL,3,14
YARNELL,169,OK,NULL,15,16
TONASKET #4,170,OK,NULL,17,25
TONASKET #5,171,OK,NULL,20,16
TONASKET #6,172,OK,NULL,8,19
TONASKET #7,173,OK,NULL,19,28
LEECHER MTN,174,OK,NULL,23,29
ALTA LAKE,175,OK,NULL,27,16
STARR,176,OK,NULL,14,16
PATEROS #3,177,OK,NULL,15,8
RAT LAKE,178,OK,NULL,18,17
BREWSTER FLAT,179,OK,NULL,21,22
BREWSTER #3,180,OK,NULL,11,21
BREWSTER #4,181,OK,NULL,6,13
BREWSTER #5,182,OK,NULL,14,13
BREWSTER #6,183,OK,NULL,10,9
PIONEER,184,OK,NULL,14,34
COLEMAN BUTTE,185,OK,NULL,13,39
ASTON,186,OK,NULL,23,16
WEST RIVER,187,OK,NULL,12,27
OMAK RIVER,188,OK,NULL,24,34
CHEROKEE,189,OK,NULL,16,51
NICHOLS,190,OK,NULL,7,22
LONE PINE,191,OK,NULL,14,17
OMAK MTN,192,OK,NULL,7,20
OMAK LAKE,193,OK,NULL,16,21
FIKER,194,OK,NULL,8,42
ROSS CANYON,195,OK,NULL,31,24
HENDRICK,196,OK,NULL,40,35
DIXON,197,OK,NULL,22,40
KERMEL,198,OK,NULL,23,37
GLOVER,199,OK,NULL,24,43
FLETCHER,200,OK,NULL,27,32
MOCK,201,OK,NULL,15,40
OMAK #10,202,OK,NULL,31,21
OMAK #11,203,OK,NULL,34,38
OMAK #12,204,OK,NULL,17,36
OMAK #13,205,OK,NULL,16,26
OMAK #14,206,OK,NULL,20,14
OMAK #15,207,OK,NULL,26,43
OMAK #16,208,OK,NULL,36,15
OMAK #17,209,OK,NULL,35,40
OMAK #18,210,OK,NULL,21,13
OMAK #19,211,OK,NULL,14,19
OMAK #20,212,OK,NULL,24,32
OMAK #21,213,OK,NULL,13,18
OMAK #22,214,OK,NULL,28,20
OMAK #23,215,OK,NULL,11,10
OMAK #24,216,OK,NULL,17,19
OKANOGAN #5,217,OK,NULL,27,24
OKANOGAN #6,218,OK,NULL,18,36
OKANOGAN #7,219,OK,NULL,7,15
OKANOGAN #8,220,OK,NULL,24,19
OKANOGAN #9,221,OK,NULL,29,23
OKANOGAN #10,222,OK,NULL,32,29
OKANOGAN #11,223,OK,NULL,24,28
OKANOGAN #12,224,OK,NULL,20,17
OKANOGAN #13,225,OK,NULL,10,18
AVIATION,226,OK,NULL,16,10
SUNSET LAKES,236,OK,NULL,2,18
FLATS,237,OK,NULL,22,19
