Row Label,PrecinctCode,County,Registered Voters,Kimberly A Allen
Total,-1,GR,NULL,14887
Airport 1 001,1,GR,NULL,189
Beverly 002,2,GR,NULL,22
Block 71 003,3,GR,NULL,436
Cascade Fairgrnd 004,4,GR,NULL,194
Coulee City 005,5,GR,NULL,154
Coulee Cty Rur W 006,6,GR,NULL,72
Electric City 007,7,GR,NULL,236
Ephrata 5 008,8,GR,NULL,215
Ephrata 2 009,9,GR,NULL,293
Ephrata 3 010,10,GR,NULL,192
Ephrata 4 011,11,GR,NULL,348
Ephrata 7 012,12,GR,NULL,256
Ephrata 9 013,13,GR,NULL,410
Ephrata Rural ,14,GR,NULL,217
George 015,15,GR,NULL,34
George Rural 016,16,GR,NULL,389
Gloyd 017,17,GR,NULL,210
Grand Coulee 018,18,GR,NULL,193
Hartline 019,19,GR,NULL,43
Hartline Rural S 020,20,GR,NULL,23
Lakeview Park 021,21,GR,NULL,216
Longview 022,22,GR,NULL,293
Mae 023,23,GR,NULL,633
Marlin 024,24,GR,NULL,16
Marlin Rural 025,25,GR,NULL,29
Mattawa 026,26,GR,NULL,36
Mattawa Rural 027,27,GR,NULL,327
McConihe 1 028,28,GR,NULL,128
Moses Lake 5 029,29,GR,NULL,240
Moses Lake 3 030,30,GR,NULL,369
Moses Lake 4 031,31,GR,NULL,230
Moses Lake 6 032,32,GR,NULL,370
Moses Lake 7 033,33,GR,NULL,301
Moses Lake 8 034,34,GR,NULL,399
Moses Lake 11 035,35,GR,NULL,466
Moses Lake 12 036,36,GR,NULL,296
North Banks Lake 037,37,GR,NULL,44
O Sullivan Dam 1 038,38,GR,NULL,367
Quincy 1 039,39,GR,NULL,208
Quincy 4 040,40,GR,NULL,117
Quincy 6 041,41,GR,NULL,339
Quincy Rural N 042,42,GR,NULL,152
Royal Camp 043,43,GR,NULL,339
Royal City 044,44,GR,NULL,96
Ruff 045,45,GR,NULL,37
Smyrna 1 046,46,GR,NULL,101
Soap Lake 1 047,47,GR,NULL,138
Soap Lake Rur E ,48,GR,NULL,62
Stratford 049,49,GR,NULL,36
Warden 050,50,GR,NULL,150
Warden Rural 051,51,GR,NULL,285
Soap Lake 2 052,52,GR,NULL,133
Westslope 1 053,53,GR,NULL,72
Wheeler 1 054,54,GR,NULL,180
Wilson Creek 055,55,GR,NULL,55
Wilson Crk Rural 056,56,GR,NULL,24
Airport 2 057,57,GR,NULL,156
Cascade Valley 058,58,GR,NULL,414
Westslope 2 059,59,GR,NULL,69
Smyrna 2 060,60,GR,NULL,23
East Wahluke 061,61,GR,NULL,63
Coulee Cty Rur E 062,62,GR,NULL,18
McConihe 2 063,63,GR,NULL,113
Quincy Rural S 064,64,GR,NULL,422
Greenfield 065,65,GR,NULL,46
Moses Lake 1 066,66,GR,NULL,166
Moses Lake 2 067,67,GR,NULL,211
Moses Lake 9  068,68,GR,NULL,253
O Sullivan Dam 2 069,69,GR,NULL,483
Wheeler 2 070,70,GR,NULL,457
Soap Lake Rur W ,71,GR,NULL,269
Coulee Cty Rur N 072,72,GR,NULL,56
Hartline Rural N 073,73,GR,NULL,24
Ephrata Rural E,74,GR,NULL,234
