Row Label,PrecinctCode,County,Registered Voters,Tim Gray
Total,-1,ST,NULL,12058
ADDY,1,ST,NULL,278
CAMAS,3,ST,NULL,213
CAMAS PRAIRIE,4,ST,NULL,138
COLUMBIA,5,ST,NULL,341
COLVILLE VALLEY,6,ST,NULL,449
DAISY,7,ST,NULL,144
ECHO,8,ST,NULL,308
EVANS,9,ST,NULL,164
HUNTERS,10,ST,NULL,290
KELLY HILL,11,ST,NULL,75
LOON LAKE 1,12,ST,NULL,370
LOON LAKE 2,13,ST,NULL,196
MILL CREEK,14,ST,NULL,120
NARCISSE,15,ST,NULL,321
ONION CREEK,16,ST,NULL,106
RICE,19,ST,NULL,144
ROCK CUT,20,ST,NULL,65
SUMMIT,21,ST,NULL,178
FIRST THOUGHT,22,ST,NULL,37
WELLPINIT,24,ST,NULL,150
WILLIAMS VALLEY,25,ST,NULL,306
TUM TUM 1,26,ST,NULL,163
TUM TUM 2,27,ST,NULL,303
WALKERS PRAIRIE,28,ST,NULL,205
STONE LODGE,29,ST,NULL,271
TUM TUM 3,39,ST,NULL,375
TUM TUM 4,40,ST,NULL,217
TUM TUM 5,41,ST,NULL,249
MEYERS FALLS 1,42,ST,NULL,240
MEYERS FALLS 2,43,ST,NULL,369
QUARTZITE 1,44,ST,NULL,407
QUARTZITE 2,45,ST,NULL,219
VALLEY 1,46,ST,NULL,42
VALLEY 2,47,ST,NULL,158
ARDEN 1,48,ST,NULL,214
ARDEN 2,49,ST,NULL,270
CLAYTON 1,50,ST,NULL,164
CLAYTON 2,51,ST,NULL,268
ORIN 1,52,ST,NULL,203
ORIN 2,53,ST,NULL,235
WAITTS LAKE,54,ST,NULL,271
ECHO VALLEY,55,ST,NULL,175
CHEWELAH 1,101,ST,NULL,225
CHEWELAH 2,102,ST,NULL,107
CHEWELAH 3,103,ST,NULL,176
CHEWELAH FORE,104,ST,NULL,126
COLVILLE 1,105,ST,NULL,116
COLVILLE 2,106,ST,NULL,153
COLVILLE 3,107,ST,NULL,163
COLVILLE 4,108,ST,NULL,333
COLVILLE 5,109,ST,NULL,257
COLVILLE 6,110,ST,NULL,190
COLVILLE 7,111,ST,NULL,182
KETTLE FALLS 1,114,ST,NULL,260
KETTLE FALLS 2,115,ST,NULL,166
MARCUS,116,ST,NULL,55
NORTHPORT,117,ST,NULL,81
SPRINGDALE,118,ST,NULL,57
