Row Label,PrecinctCode,County,Registered Voters,Suzan DelBene,Pedro Celis
Total,-1,WM,NULL,17400,22619
101,101,WM,NULL,355,110
102,102,WM,NULL,164,192
103,103,WM,NULL,283,190
104,104,WM,NULL,142,159
105,105,WM,NULL,152,98
106    ,106,WM,NULL,200,206
107,107,WM,NULL,285,269
108,108,WM,NULL,293,294
110,110,WM,NULL,171,236
111    ,111,WM,NULL,197,262
112,112,WM,NULL,122,129
113,113,WM,NULL,160,275
114,114,WM,NULL,123,147
115,115,WM,NULL,172,332
116,116,WM,NULL,65,248
117,117,WM,NULL,78,325
118,118,WM,NULL,140,416
119    ,119,WM,NULL,132,121
120,120,WM,NULL,160,292
121,121,WM,NULL,137,195
122,122,WM,NULL,133,176
123,123,WM,NULL,137,162
124    ,124,WM,NULL,113,189
125,125,WM,NULL,155,308
126    ,126,WM,NULL,295,328
127,127,WM,NULL,297,346
129,129,WM,NULL,222,279
130,130,WM,NULL,114,186
131,131,WM,NULL,279,300
132,132,WM,NULL,187,206
133,133,WM,NULL,262,94
134    ,134,WM,NULL,410,231
135,135,WM,NULL,282,158
136    ,136,WM,NULL,265,171
137,137,WM,NULL,282,80
138,138,WM,NULL,399,110
139,139,WM,NULL,37,217
140    ,140,WM,NULL,143,572
141    ,141,WM,NULL,188,405
142,142,WM,NULL,210,158
143    ,143,WM,NULL,191,121
144    ,144,WM,NULL,113,514
145    ,145,WM,NULL,247,383
146    ,146,WM,NULL,213,414
147,147,WM,NULL,200,290
148,148,WM,NULL,219,251
149,149,WM,NULL,142,247
150,150,WM,NULL,225,341
151,151,WM,NULL,267,327
152,152,WM,NULL,229,248
153,153,WM,NULL,217,263
154    ,154,WM,NULL,181,169
155,155,WM,NULL,139,212
156    ,156,WM,NULL,120,106
157,157,WM,NULL,123,117
158    ,158,WM,NULL,112,124
159    ,159,WM,NULL,64,73
162    ,162,WM,NULL,227,161
163    ,163,WM,NULL,269,171
164    ,164,WM,NULL,96,81
165    ,165,WM,NULL,114,146
166    ,166,WM,NULL,325,224
167    ,167,WM,NULL,44,50
168    ,168,WM,NULL,304,309
179    ,179,WM,NULL,68,61
183    ,183,WM,NULL,14,6
268,268,WM,NULL,16,7
301,301,WM,NULL,306,274
302,302,WM,NULL,346,232
303,303,WM,NULL,285,293
304    ,304,WM,NULL,108,82
401,401,WM,NULL,118,178
402    ,402,WM,NULL,159,232
501,501,WM,NULL,212,244
502,502,WM,NULL,214,198
503,503,WM,NULL,229,292
504,504,WM,NULL,124,141
505,505,WM,NULL,290,261
506    ,506,WM,NULL,263,211
507    ,507,WM,NULL,176,224
508    ,508,WM,NULL,249,258
509    ,509,WM,NULL,149,193
601,601,WM,NULL,196,525
602,602,WM,NULL,163,424
603,603,WM,NULL,140,314
604    ,604,WM,NULL,95,394
605,605,WM,NULL,89,230
606    ,606,WM,NULL,144,390
607    ,607,WM,NULL,98,382
608    ,608,WM,NULL,158,298
609    ,609,WM,NULL,151,478
610    ,610,WM,NULL,158,460
611    ,611,WM,NULL,85,312
701,701,WM,NULL,148,294
801,801,WM,NULL,127,217
