Row Label,PrecinctCode,County,Registered Voters,Kristine Lytton,Daniel R. Miller
Total,-1,SJ,NULL,5598,2349
San Juan South East,11,SJ,NULL,225,147
San Juan South West,12,SJ,NULL,411,129
San Juan Central,13,SJ,NULL,389,155
San Juan West,14,SJ,NULL,373,157
San Juan North,15,SJ,NULL,283,171
San Juan East,16,SJ,NULL,301,108
Turn Point,17,SJ,NULL,173,69
Waldron &amp; Outer Is,21,SJ,NULL,60,8
Orcas West,22,SJ,NULL,419,178
Orcas Central,23,SJ,NULL,447,146
Eastsound,24,SJ,NULL,468,177
Orcas East,25,SJ,NULL,358,169
Blakely &amp; Outer Is,26,SJ,NULL,15,15
Lopez North,31,SJ,NULL,585,229
Lopez South,32,SJ,NULL,458,145
Decatur and Outer Is,33,SJ,NULL,22,24
Shaw,41,SJ,NULL,68,33
Friday Harbor North,101,SJ,NULL,303,169
Friday Harbor South,102,SJ,NULL,240,120
